name,solution
C0000001,0
C0000002,0
C0000003,0
C0000004,0
C0000005,0
C0000006,0
C0000007,0
C0000008,0
C0000009,0
C0000010,0
C0000011,0
C0000012,0
C0000013,0
C0000014,0
C0000015,0
C0000016,0
C0000017,0
C0000018,0
C0000019,0
C0000020,0
C0000021,0
C0000022,0
C0000023,0
C0000024,9
C0000025,4
C0000026,9
C0000027,9
C0000028,4
C0000029,9
C0000030,4
C0000031,9
C0000032,4
C0000033,9
C0000034,4
C0000035,9
C0000036,4
C0000037,9
C0000038,4
C0000039,9
C0000040,4
C0000041,9
C0000042,3
C0000043,3
C0000044,4
C0000045,0
C0000046,0
C0000047,1
